A.1	S obzirom na to da se radi o raznoj vrijednosti, ne može se utvrditi da je to vrijednost koja se može utvrditi u skladu s člankom 6.4.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.367	Dokažite to.	Želim pokazati da za $E$ je normirani prostor, $f\in E^*$ i $M=\{x\in E\,:\, f(x)=0\}$: Napisati $M^\perp$ Pokažite da $d(x,M)=\frac{|\langle f,x\rangle|}{||f||}$. Ovo je moj pokušaj: Za drugi dio: Imamo da $f\in E^*$ i za $x\in E$ i $m\in M$ $$\ |\langle f,x-m|\rangle \leq ||f|| ||x-m|| \Rightarrow \frac{|\langle f,x\rangle|}{||f||} \leq ||x-m||. $$ Stoga, $$ \frac{|\langle f,x\rangle|}{||f||} \leq \inf_{m\in M}||x-m|| =d(x,M). $$ Druga nejednakost je da ne mogu dokazati, mislim da bilo koji korolari Hanh-Banach mogao bi mi pomoći da dokažem da $E$0 Ima li netko ideju i mogao provjeriti moj dokaz? ažuriranje Našao sam isti pitanje u ovom link Orthogonality Relations vježbanje, Brezis knjiga Funkcionalna analiza	functional-analysis,normed-spaces
A.368	Bazel Problem približnje pogreške ograničene $\mathcal O(1/x)$?	U ovom odgovoru se navodi da je $$ \sum_{n\geq1}\frac{1}{n^2}=\sum_{n\leq x}\frac1{n^2}+\mathcal O(1/x). $$ istina kao $x\to\infty$? Što sam učinio: Ako je $x$ fiksiran, onda mislim da je odgovor gotovo trivijalni, jer možemo postaviti $C=\pi^2x/6$, tako da je $$ \sum_{n=x}^\infty\frac1{n^2}\leq\sum_{n=1}^\infty\frac1{n^2}=\frac{\pi^2}{6}=\frac{C}{x}, $$ pa je $$ \sum_{n\geq1}\frac1{n^2}=\sum_{n\leq x}\frac{1}{n^2}+\sum_{n=x}^\infty\frac{1}{n^2}\leq\sum_{n\leq x}\frac{1}{n^2}+C/x=\sum_{n\leq x}\frac{1}{n^2}+\mathcal O(1/x). $$. Ali postoji li stalna nezavisna od $x$ koji to čini istinito?	approximation
A.369	Uloženi u redovito	Kako izračunati integral $$J_n=\int_{-\pi}^\pi \frac{\sin{(nx)}}{(1+2^n) \sin{x}}\,\mathrm{d}x\:?$$ Pokušao sam djelomičnu integraciju, ali nisam uspio pronaći ponavljajuće veza? Također, pokušao Moivre formula za $I_n+iJ_n$, gdje $I_n=\int_{-\pi}^\pi \frac{\cos{(nx)}}{(1+2^n) \sin{x}} dx$, ali također bez uspjeha.	integration,definite-integrals,recurrence-relations
A.370	Što ako uzmemo korak funkcije umjesto jednostavnih funkcija u Lebesgue integral	Kada definiramo Lebesgue integral, prvo ga definiramo za jednostavne funkcije $s(x) = \sum\limits_{j=1}^n c_j\chi_{A_j}(x)$ (gdje su $A_j$ mjerljive) kao $\int sd\mu = \sum\limits_{i=j}^n c_j \mu(A_j)$ i onda za $f\ge 0$ kao $\int fd\mu = \sup\{\int sd\mu$ : s jednostavno i $0\le s\le f\}$. Ali pitao sam se što bi moglo pogriješiti ako umjesto jednostavnih funkcija u vrhovnom, bismo uzeli korak funkcije, tj. $s(x)=\sum\limits_{j=1}^nc_i\chi_{I_j}(x)$ gdje $I_j$ su intervali (bilo koji tip, kao $(a,b), (a,b], [a,b), [a,b])$).	measure-theory,lebesgue-integral,step-function,simple-functions
A.371	Mogu li reći $|f(x)g(x)|=||fg||$	$f,g:[0,1]\to \Bbb{R}$ neka bude kontinuirana funkcija. Pokaži da $$||fg||\le||f||\space||g||$$ Što sam do sada dobio: $|f(x)| \le\max|f(x)|=$ norma $f$, $||f||$.$\forall x\in[0,1]$. (Napomena: zamijenio sam supremum s maksimalnim.) $|f(x)||g(x)| =|f(x)g(x)|\le \max |f(x)|g(x)=||f|| \space\space |g|\le \max|f(x)|\space \max|g(x)|=|f||\space\space||g||$ $|f(x)g(x)|\le||f||\space\space||g||$ Kao što moram pokazati da $||fg||\le||f||\space||g||$ : Mogu li reći $f,g:[0,1]\to \Bbb{R}$0? Nisam siguran o tome Jer $f,g:[0,1]\to \Bbb{R}$1 osjećam da nedostaje koncept dokazati $f,g:[0,1]\to \Bbb{R}$0, kroz koji mislim da ću konačno dokazati $||fg||\le||f||\space||g||$ molim vas, ako biste mogli objasniti.	functional-analysis,analysis,norm
A.372	Kada smo se pomaknuli sa $\mathbb{Z}\left[\sqrt{d}\right]$ na prsten čestica $\mathcal{O}_{\mathbb{Q}\left[\sqrt{d}\right]}$ i zašto?	Gauss je u $\mathbb{Z}$ napravio veliki napredak u teoriji brojeva radeći na $\mathbb{Z}[i]$ (ili ekvivalentno $\mathbb{Z}\left[\sqrt{-1}\right]$), toliko da sada $\mathbb{Z}[i]$ zovemo Gausovima cjelinicima. I čak su stari matematičari znali da se rješenja Pellove jednačine $x^2 - dy^2 = 1$ mogu bolje analizirati radeći na $\mathbb{Z}\left[\sqrt{d}\right]$. Ali sada u modernoj teoriji brojeva proučavamo mnogo više prsten čjelinica $\mathcal{O}_{\mathbb{Q}\left[\sqrt{d}\right]}$.	abstract-algebra,ring-theory,soft-question,definition
A.373	Pokažite da je $\sqrt n$ iracionalan ako $n$ nije savršeni kvadrat, koristeći metodu beskonačnog potoka.	Pokažite da je $\sqrt n$ iracionalno ako $n$ nije $a $perfect kvadrat, koristeći metodu beskonačnog potpona. Znam kako to dokazati tako što učinim dokaz protivrečnosti i koristeći Fundamentalni teorema aritmetice, ali sada me pitaju da ga dokažem pomoću beskonačnog potpona. Zatim slijedeći problem kaže "Zašto metoda teksta ne pokazuje da je $\sqrt n$ iracionalna ako je $n$ savršeni kvadrat?" Ja sam zbunjen time. Bilo kakve sugestije ili rješenja su vrlo cijene. Razmišljao sam o standardnom argumentu, neka $\sqrt n = {a\over b}$ gdje $gcd(a,b)=1$ i onda kroz neku algebru dostignu zajednički faktor za oboje $a$ i $b$ koji se suprotstavi činjenici da $gcd(a,b)=1$ i tako možemo primijeniti ovo iznova i iznova, ali onda ne razumijem kako problem ne može objasniti sljedeću metodu kaže.	elementary-number-theory
A.374	Pronaći sve monike kompleksne polinomje $P(x)$ kao da je $P(x)|P(x^2)$	Nađite sve monic kompleksne polinomje $P(x)$ takve da $P(x)|P(x^2)$. Moj napredak do sada je da sam otkrio da su za stupanj 1, $P(x)=x, x^2$ jedini. Za stupanj 2, oni su $P(x)=x^2+x+1, x^2, x^2-1, x^2-x, x^2-2x+1$. Također dokažem da su to samo rješenja za stupanj 1 i 2.	algebra-precalculus,polynomials,divisibility
A.375	Može li mi netko pomoći da riješim ovu diofantinsku jednadžbu?	Nađi sve čestice rješenja za $x^2 + 7 = 2^n$. Učinio sam slučaj gdje je n parno čestice, ali sada sam malo izgubljen.	elementary-number-theory
A.376	Ocenjivanje granice funkcije sqrt koristeći Riemannove sume	$\lim\limits_{n\to\infty}\dfrac{\sqrt1+\sqrt2+\sqrt3+\ldots+\sqrt n}{n\sqrt n}$ Imam problema s ovim problemom. Pokušao sam uzeti Riemannovu sum, ali ne mogu proći kvadratni korijen.	calculus,limits,riemann-sum
A.377	Što je $\mathbb{R}^{n+1}-\mathbb{R}^n$?	U C.H. Edwardsovom naprednom izračunu nekoliko promjenaka on definiše ordinatni skup $\mathcal{O}_f$ funkcije $f:\mathbb{R}^n\to\mathbb{R}$ kao skup tačaka između $\mathbb{R}^n$ i grafa $f,$ uključujući točke ocjene, $\mathbf{x}\in\mathbb{R}^n$ i točke u grafu $\left\{\mathbf{x},f\left(\mathbf{x}\right)\right\}\in\mathbb{R}^{n+1}$. Kasnije definiše skup $\hat{\mathcal{G}}=\partial\mathcal{O}_f-\mathbb{R}^n,$ gdje $\partial\mathcal{O}_f$ je granica $\mathcal{O}_f.$ Namjera izgleda jasna. Prvo $\mathcal{O}_f$0 gdje $\mathcal{O}_f$1 znači kartezanski proizvod.	multivariable-calculus,elementary-set-theory,vector-spaces
A.378	Da li eksponent pravila slijede drugačije pravila od radikalnih	Je li $\left(-3\right)^\frac{2}{2}$ jednako $\sqrt{\left(-3\right)^2}$?	exponential-function
A.379	Vlasnosti skupa svih izomorfizama $ f: G \to G $	Prvo želim pokazati da je $ (S, \circ) $ također skupina. Mislim da sam pokazao da su svi osobini grupe ispunjeni s $ (S, \circ) $: i) Pretpostavimo da je $ x \in $ i $ f_1,f_2 \in S$. Onda $f_2(x) = y \in G$, jer je $ f_1 $ ismorfizam. $ f_2(y) = z \in G $ od $G$0 je ismorfizam. Onda $G$1 pa $G$2 ii) $G$3 je izomorfizam $G$4. iii) $G$5 je izomorfizam $G$6, možemo pokazati da je $G$7 također isomorfizam, $G$8. Sada pretpostavimo da je $G$9, onda želim pokazati da je $ S $0 abelijanski i svaki element ima red od 1 ili 2.	group-theory,elementary-number-theory,group-isomorphism,automorphism-group
A.380	Ako je $\int_0^\pi f(t) \sin(t)dt =\int_0^\pi f(t) \cos(t)dt = 0$, onda $f(x)=0$ dopušta dva rješenja	Ako $\int^{\pi}_{0}f (t) \sin(t)dt =\int^{\pi}_{0} f (t) \cos(t)dt = 0$ dopušta dva rješenja u $[0,\pi]$ pokušavam pokazati ako $f(x)>0$ i onda dobiti kontradikciju, ali nisam uspjela dokazati to, pa mi možda netko može pomoći s tim?	integration,analysis
A.381	$A_1 \times ... \times A_n$ je prebrojavan ako su $A_1, ..., A_n$ prebrojavan	Pretpostavimo da su $A_1, ..., A_n$ brojne skupine. Pokažite da je karteski proizvod $A := A_1 \times ... \times A_n$ brojen. Moj pokušaj: skupine se kaže da su brojne ako su krajnje ili ako imaju istu kardinalitet kao neki podskupin $\mathbb{N}$ (tj. možemo pronaći neke bijecije $f: A \rightarrow S$ ili $f: S \rightarrow A$ gdje $S \subset \mathbb{N}$). Pretpostavimo da su $A_1, ..., A_n$ brojne skupine. Onda postoje bijecije $fi: \mathbb{N} \rightarrow A_i$ za $i = 1, ..., n$. Definirate $g: \mathbb{N} \rightarrow A$ kako slijedi moj problem nastane ovdje u pronalaženju takve bijective funkcije bez toga da je previše komplicirano. Kako bih otišao oko pronalaženja jednog?	elementary-set-theory,induction
A.382	Skup funkcija od $SS = \{ A_{1}, A_{2}, A_{3},...\}$ do $\{ \mathbf{T}, \mathbf{F} \} $ je mogući?	Neka $SS=\{ A_1,A_2,A_3,\ldots\}$ i $V = \{ v \mid v: SS \to \{ \mathbf{T}, \mathbf{F} \} \}$ .Je li skup V obračunljiv? opravdati svoj odgovor. Moj instinkt je reći da je $V = \{ v \mid v: SS \to \{ \mathbf{T}, \mathbf{F} \} \}$ nepročunljiv, i dokazati to pomoću dijagonalizacije argumentu, tj. stvoriti tabelu vrijednosti funkcija $v_{1}, v_{2},...$ za prirodne brojeve $n_1, n_2,\ldots$ i definirati funkciju $v_{m} : SS \to \{ \mathbf{T}, \mathbf{F} \}$ gdje uzima sve vrijednosti u dijagonali tabele $T, F$ i preokrenuti ih, a zatim pokazati da $v_{m}$ ne može pojaviti nigdje u popisu.	elementary-set-theory
A.383	Automorfizmi diska bez maksimalnog načela	U pedagogskim svrhe tražim elementarni dokaz (tj. bez primjene maksimuma) da $f_a(z):=\frac{z-a}{1-\overline{a}z}$ prikazuje jedinični disk u sebe kad $|a|<1$. Običan argument (najmanje za mene) je pogledati $f_a(e^{it})$ i provjeriti da $|f_a(e^{it})|=1$. Onda smo završili prema maksimumu i činjenici da $f_a(a)=0$. Međutim, ne mogu pomoći, ali mislim da bi trebao postojati elementarni način za to, koristeći samo osnovne činjenice o složenim brojevima kao što je trokutna nejednakost. Nažalost, trčim u kruhe.	complex-analysis,complex-numbers
A.384	Što znači ova notiranje?	U ovom trenutku uzimam MIT6.006 i našao sam ovaj problem na skup problema. unatoč činjenici da sam naučio diskretnu matematiku prije, nikada prije nisam vidio takvu notiranje, i želio bih znati što to znači i kako to radi, Hvala: $$ f_3(n) = \binom n2$$ (Transcribed from screenshot)	discrete-mathematics,algorithms
A.385	Vlasnosti veličine funkcije u općem euklidskom domenu	U teoriji prstena danog prstena $R$ naziva se euklidski domen ako postoji funkcija $\sigma:R -\{0\}\rightarrow \{0,1,2,3...\}   $ koja zadovoljava algoritam dijele tj. $ $ ako $a,b \in R$ onda postoji $q,r \in R$ tako da $b=aq+r$ i ili $r=0$ ili $\sigma(r)\lt \sigma(a) $ Sada želim pitati možemo li dokazati, koristeći samo ovu definiciju da element većeg stupnja neće podijeliti element manjeg stupnja. U određenim prstena kao što su (i) cijeli broj možemo reći $$\sigma(a)=|a|$$ $$R$0 ii) polinomima gdje $R$1$R$2 Dakle u oba gore navedenih slučaja veličina proizvoda dva elementa će uvijek biti veća ili jednaka veličini pojedinačnih elemenata i stoga veći element ne može dokazati manji element.	ring-theory,factoring,euclidean-domain
A.386	Dokažite to.	U Wikipedijskom dokazu Riemanskog funkcionalnog jednačnog za zeta funkciju (do sada kliknite na "Pokaži dokaz"), pronađem tvrdnju da $$\sum _{n=-\infty }^{\infty } e^{-n^2 \pi x} = \frac{1}{\sqrt{x}}\sum _{n=-\infty }^{\infty } e^{-\frac{n^2 \pi }{x}}$$ ne mogu shvatiti kako to radi. Ima li to veze s Jacobi theta funkcijama? Matematica (koji izgleda da koristi originalnu Jacobi notiranje) pojednostavljuje izraz na lijevoj strani gore na Jacobi eliptično theta funkciju (do sada Wikipedija, plus 'Pomoćne funkcije' odjeljak koji slijedi) $$ \begin{aligned} \sum _{n=-\infty }^{\infty } e^{-n^2 \pi x} &= \vartheta_{3}(0,e^{-\pi  x}) \\&= \vartheta_{00}(0,e^{-\pi  x}) \\&= \vartheta(0,e^{-\pi  x}) \end{aligned} $$ Wikipedia definira $$\vartheta(z;\tau) := \sum _{n=-\infty }^{\infty } e^{\pi i n^2 \tau+2 \pi i n z}$$ Ali postavljanje $z = 0$ i $\tau = e^{-\pi  x}$ onda daje $$\vartheta(0,e^{-\pi  x}) = \sum _{n=-\infty }^{\infty } e^{\pi i n^2 e^{-\pi  x}}$$ koji nije ekvivalent izvornom izrazu.	proof-explanation,riemann-zeta,theta-functions
A.387	Svaki pozitivan cijeli broj veći od $11$ je ne-negativna linearna kombinacija $5$ i $4$. Moje rješenje	Dakle, svaki pozitivan broj može se izraziti kao linijska kombinacija $n\in\mathbb{Z}^{+}$4 i $n\in\mathbb{Z}^{+}$2, pa $n\in\mathbb{Z}^{+}$3 Tako, koristeći taj $n\in\mathbb{Z}^{+}$6, imamo: $n\in\mathbb{Z}^{+}$7 Dakle, povećanjem vrijednosti koje $n\in\mathbb{Z}^{+}$8 uzima, imamo: $n\in\mathbb{Z}^{+}$9 Ali $k\in\mathbb{Z}_0^+$0. Dakle, imamo da svaki pozitivan cijeli broj veći ili jednak $k\in\mathbb{Z}_0^+$1 je ne-negativna linijska kombinacija $n\in\mathbb{Z}^{+}$4 i $n\in\mathbb{Z}^{+}$5. Na kraju, pogledajmo slučajeve koji su još uvijek nisu provjereni, koji su $k\in\mathbb{Z}_0^+$2, $k\in\mathbb{Z}_0^+$3 i $k\in\mathbb{Z}_0^+$4.	elementary-number-theory
A.388	Linearna algebra pronalazi $k$	S obzirom na linearni sustav: $$\begin{cases}  x_1 + kx_2 − x_3 = 2\\  2x_1 − x_2 + kx_3 = 5 \\ x_1 +10x_2 −6x_3 =1 \end{cases}$$ za koji vrijednosti $k$ imaju sustav (2): (a) Nema rješenja (b) Jedinstveno rješenje. (c) Bezbroj rješenja.	linear-algebra
A.389	Konvergencija posebnog serija, s obzirom na to da je N velik	Pokušavam pronaći opću formuli za niz i x je konstanta: $$\sum\limits_{i=1}^N  \frac{i}{(1+r)^i}$$ sam oduzeo opću formuli za suma. $$\frac{(1+r)^{N+1}-(1+r)-rN}{r^2(1+r)^N}$$ će se ova suma približiti nekakvoj vrijednosti kada je N vrlo velika?	summation
A.390	Dokažite da ako $x_n$ konvergira na $\omega$, $t_n$ konvergira i na $\omega$.	Sekuencom $(x_n)_{n\in\Bbb{N}}$, definirajte novi niz $(t_n)_{n\in\Bbb{N}}$ takav da $t_n:=\frac {x_1+x_2+...+x_n}{n}$. Ako $\lim_{n\rightarrow\infty}t_n=\omega$, kako mogu pokazati da $\lim_{t\rightarrow\infty}x_n=\omega$?	sequences-and-series,convergence-divergence
A.391	$C_r $ Nejednakost	Pokažite da za svaki $r> 0$ $$\mathbb{E} |X+Y|^r \leq c_r (\mathbb{E} |X|^r + \mathbb{E} |Y|^r),$$ gdje je $c_r$ konstanta koju je dao $\begin{equation}    c_r = \left\{         \begin{array}{ll}    1 & \mathrm{if\ } 0 < r \le 1 \\    2^{r-1}     & \mathrm{if\ } 1 < r         \end{array}       \right. \end{equation}$ pokušao sam koristiti druge nejednakosti za dokaz ovog, ali i dalje se zaglavim za slučaj $2^{r-1}$.	probability-theory,probability-distributions
A.392	Kako izračunati obrnuto polinomje modulo cijeli broj	Radim s polinomima u ringu $\mathbb{Z}[X]/(X^n-1)$, tako da su dopušten samo polinomima s najviše stupnjevom $n-1$, a množenja moraju biti smanjene modulo $X^n-1$. Stvar je u tome da imam polinom $f(X)$ i želim izračunati njegov obrnuto modulo cijeli broj $p$, $f_p(X)$, tako da $$ f * f_p \equiv 1 \bmod p $$ Kako bih to mogao učiniti?	polynomials,ring-theory,euclidean-algorithm
A.393	Ispostavite da je cijela funkcija konstanta pod nejednakom	F je cjelokupna funkcija, pretpostavimo da je $|f(z^{2})| \leq  2|f(z)|$ za sve C, onda je f konstanta. Pokušavam koristiti Liouvilleovu teoremu, ali čini se da to nije korisno.	complex-analysis
A.394	Pokušavam pronaći $\delta$ u epsilon-delta kontinuitet dokaz.	Pokušavam dokazati da je sljedeća funkcija kontinuirana za sve iracionalne: $f(x) = \begin{cases} 0,  & \text{if $x$ is irrational} \\ 1/n, & \text{if $x = m/n$} \end{cases}$ Pitanje pretpostavlja da je $m/n$ u najnižim terminima. Pokazao sam da je diskontinuirana za sve racionalne, a sada vjerujem da moram ili koristiti $\epsilon-\delta$ definiciju kontinuiteta ili sekvencijalnog kontinuiteta kako bi pokazao da je funkcija kontinuirana za kada je $x$ iracionalna. Podijelio sam svoj pokušaj u dva slučaja: Naša vrijednost $x$ je iracionalna, onda želim: $$\forall \epsilon > 0, \exists \delta > 0, |x-a| $a$ is irrational here. Using that XX6 is irrational I get that $f(x) = 0$ as does $f(a) $f(x) = \begin{cases} 0,  & \text{if $0\delta$f(x) = \begin{cases} 0,  & \text{if $10 \epsilon$f(x) = \begin{cases} 0,  & \text{if $2 \delta13x \epsilon{m} = $f(x) = \begin{cases} 0,  & \text{if $4\epsilon{m} = $f(x) = \begin{cases} 0,  & \text{if $4\epsilon{m} = 0, ali \epsilon{epsilon} \epsilon{epsilon} 0,0\epsilon} }a15 Moram se boriti da pronađem kontinuitet ako ne znam kako bih mogao pronaći svoj pristup $f(x) = \begin{cases} 0,  & \text{if $7}a15 moram promijeniti ako ne znam kako bih mogao pronaći $f(x) = \begin{cases} 0,  & \text{if $7}a$f(x) = \begin{cases} 0,  & \text{if $8?	continuity,epsilon-delta
A.395	Zašto moramo provjeriti i aditivnost i homogenost za linearnost?	$f: V \to W $ nad $K$ s $a,b \in V$ i $k \in K$. Aditivnost: $f(a+b) = f(a) + f(b)$ Homogenitet: $k*f(b) =f(k * b)$ Imam vizualno razumijevanje da je funkcija linearna ako se struktura drži dok se projektuje s $f$ ali zašto nije dovoljno provjeriti je li funkcija aditivna?	linear-algebra
A.396	Koja je MLE $\theta^*$ od $\theta$?	Imam da su $x_1, x_2,...,x_n$ iz rv $X$ koji ima funkciju gustoće $f_X(x)=\frac{2x}{\theta^2} \quad$ za $0 \le x \le \theta  \quad$ i $f_X(x)=0 \quad$ inače. Moram odrediti MLE od $\theta^*$ od $\theta$ Evo kako sam to učinio: $L(\theta)= \frac{2}{\theta^{2n}}\prod_{i=1}^nx_i$ $\frac{\partial L(\theta)}{\partial \theta} =...=\frac{-4n}{\theta^{2n+1}}\prod_{i=1}^nx_i + \frac{2}{\theta^{2n}}\frac{\partial(\prod_{i=1}^nx_i)}{\partial \theta}$ Je li to ispravno? i kako izračunati CDF $x_1, x_2,...,x_n$0, pdf $x_1, x_2,...,x_n$1 i očekivanje $x_1, x_2,...,x_n$2 od maksimalne vjerovatnoće procjenitelj $\theta^*$?	statistics,statistical-inference,maximum-likelihood,cumulative-distribution-functions,robust-statistics
A.397	Ako granica ne konvergira, može li se suma? Ili kako bi se suma mogla konvergirati?	U redu, mislio sam da sam sve vidio, ali sinoć sam vidio ovaj identitet (`tto je pripisan Ramanujanu), $$ 1 + 2 + 3 + 4 + \cdots = -\frac{1}{12} $$ Onda sam vidio dokaz koji je izgleda bio ispravan. Dakle, u redu, vjerujem u to, hej, to nije luđi nego imati beskonačnosti različitih veličina i konačno imam nešto zatvaranje s tom činjenicom. Ali onda sam se sjetila referentnog indukcijskog dokaza svako uči, $$ \sum_{i=1}^{n} i = \frac{n(n+1)}{2} $$ Onda udari u ostatke svih onih kalkulističkih kurseva koje sam jednom uzeo, čineći me stvar, hej čekajte! Imamo ovo, $$ \lim_{n\rightarrow\infty} \frac{n(n+1)}{2} = \infty $$ Mislim da smo u ovom slučaju rekli da granica ne postoji ili funkcija diverzije (pravite me ako nisam u pravu!) Ali... ali... u skladu s identitetom gore, $$ \sum_{i=1}^{n=\infty} i = -\frac{1}{12} $$ Ali onda, $$ \lim_{n\rightarrow\infty} \frac{n(n+1)}{2} \stackrel{?}{=} -\frac{1}{12} $$ Dakle, ono što vidim ovdje je da granica ne konvergira, ako se, onda, također, sjetite se, da je prije dugo vremena zaključeno da je samo dva negativna suma u potpunosti pozitivna suma, ali da je i dalje, da je pozitivna suma, ali da je i dalje, da je pozitivna suma, ali da je i dalje, da je pozitivna suma, ali da je ne-positivna suma?	limits,summation
A.398	Pitanje o diferencijabilnosti u točki	Je li kontinuirana funkcija diferencijalna na $x=c$ ako granica njezine derivate ima vrijednost u toj točki? To jest, ako $$\lim_{x \rightarrow c} f'(x) = L = \lim_{x \rightarrow c^+} f'(x) =\lim_{x \rightarrow c^-} f'(x)$$ Intuitivno, padovi tangenata približavaju se istoj vrijednosti i budući da je funkcija kontinuirana skok-diskontinuitet nije moguć tako da izgleda da pad na točki treba biti $L$ također. Međutim, ne mogu pronaći takvu teoremu, pa sumnjam da je moja intuicja pogrešna.	real-analysis,calculus
A.399	U zrakoplovu se nalaze jednokratne, razdvojene osne pravokotone	$A$ je skup pravoklonika koji je u ravnini, a svaki par ima prazan presjek. Pokažite da je $A$ brojivi skup. (Vidoklonik koji je u liniji osi je skup oblika $$M = {\{\langle x,y \rangle \in \mathbb{R^2} | a \leq x \leq b , c \leq y \leq d}\}$$ za $a,b,c,d$ tako da je $a < b$ i $ c < d$.) Pokušaj: Pokušao sam koristiti gustoću $\mathbb{Q}$ u $(\mathbb{R},\leq)$, ali bez ikakvog uspjeha.	real-analysis,combinatorics
A.400	Koja je vjerovatnoća dva pojedinačna igrača u Wimbledonu ako počinje s $16$ igračem?	Šesnaest ljudi igra u četvrtfinali u Wimbledonu. Pobjednik četvrtfinala igra opet u polufinali kako bi odlučio tko ulazi u finale. Koja je vjerojatnost da će se dva pojedinačna osoba igrati jedni s drugima ako se turnir počne sa 16 igrača? Dakle, do sada imam ( slučaj 1 + slučaj 2) = pjesnički igrač u četvrtinu OR pjesnički igrač u polufinalu = $\frac{1}{15} + \frac{14}{15}...$ Nisam siguran što još uključiti u drugi slučaj. Također treći dio pitanja pita Koja je vjerojatnost kada $2^n$ igrači počnu?	probability,combinatorics,algebra-precalculus
