A.1	U skladu s člankom 4. stavkom 1. stavkom 1. točka 1.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.373	Pokažite da je $\sqrt n$ iracionalan ako $n$ nije savršeni kvadrat, koristeći metodu beskonačnog pada.	Pokažite da je $\sqrt n$ iracionalno ako $n$ nije $a $perfect kvadrat, koristeći metodu beskonačnog potpona. Znam kako to dokazati tako što učinim dokaz protivrečnosti i koristeći Fundamentalni teorema aritmetice, ali sada me pitaju da ga dokažem pomoću beskonačnog potpona. Zatim slijedeći problem kaže "Zašto metoda teksta ne pokazuje da je $\sqrt n$ iracionalna ako je $n$ savršeni kvadrat?" Ja sam zbunjen time. Bilo kakve sugestije ili rješenja su vrlo cijene. Razmišljao sam o standardnom argumentu, neka $\sqrt n = {a\over b}$ gdje $gcd(a,b)=1$ a zatim kroz neku algebru dođu na zajednički faktor za i $a$ i $b$ koji se suprotstavi činjenici da $gcd(a,b)=1$ i tako možemo primijeniti ovo iznova i iznova, ali ne razumijem kako onda problem objasniti zašto ovaj metod ne može sljedeći kaže sljedeći problem.	elementary-number-theory
A.374	Pronaći sve monike kompleksne polinomje $P(x)$ tako da $P(x)|P(x^2)$	Nađite sve monic kompleksne polinomje $P(x)$ kao što je $P(x)|P(x^2)$. Moj napredak do sada je da sam otkrio da su za stupanj 1, $P(x)=x, x^2$ jedini. Za stupanj 2, to su $P(x)=x^2+x+1, x^2, x^2-1, x^2-x, x^2-2x+1$. Također dokažem da su to samo rješenja za stupanj 1 i 2.	algebra-precalculus,polynomials,divisibility
A.375	Može li mi netko pomoći da riješim ovu diofantinsku jednadžbu?	Nađi sve čestice rješenja za $x^2 + 7 = 2^n$. Učinio sam slučaj gdje je n parno čestice, ali sada sam malo izgubljen.	elementary-number-theory
A.376	Ocenjivanje granice funkcije sqrt koristeći Riemannove sume	$\lim\limits_{n\to\infty}\dfrac{\sqrt1+\sqrt2+\sqrt3+\ldots+\sqrt n}{n\sqrt n}$ Imam problema s ovim problemom. Pokušao sam uzeti Riemannovu sum, ali ne mogu proći kvadratni korijen.	calculus,limits,riemann-sum
A.377	Što je $\mathbb{R}^{n+1}-\mathbb{R}^n$?	U C.H. Edwardsovom naprednom izračunu nekoliko promjenaka on definiše uredan skup $\mathcal{O}_f$ funkcije $f:\mathbb{R}^n\to\mathbb{R}$ kao skup tačaka između $\mathbb{R}^n$ i grafa $f,$ uključujući ocjenjive točke, $\mathbf{x}\in\mathbb{R}^n$ i točke u grafu $\left\{\mathbf{x},f\left(\mathbf{x}\right)\right\}\in\mathbb{R}^{n+1}$. Kasnije definiše skup $\hat{\mathcal{G}}=\partial\mathcal{O}_f-\mathbb{R}^n,$ gdje je $\partial\mathcal{O}_f$ granica $\mathcal{O}_f.$ namjera izgleda jasna. Prvo $\mathcal{O}_f$0 gdje $\mathcal{O}_f$1 znači kartezanski proizvod.	multivariable-calculus,elementary-set-theory,vector-spaces
A.378	Da li eksponent pravila slijede drugačije pravila od radikalnih	Zar $\left(-3\right)^\frac{2}{2}$ nije jednako $\sqrt{\left(-3\right)^2}$?	exponential-function
A.379	Priroda skupova svih izomorfizama $ f: G \to G $	Prvo želim pokazati da je $ (S, \circ) $ također skupina. Vjerujem da sam pokazao da su svi svojstva skupine ispunjeni s $ (S, \circ) $: i) Pretpostavimo da su $ x \in $ i $ f_1,f_2 \in S$. Zatim $f_2(x) = y \in G$, jer je $ f_1 $ ismorfizam. $ f_2(y) = z \in G $ jer je $G$0 ismorfizam. Onda $G$1 zato $G$2 ii) $G$3 je izomorfizam $G$4. iii) $G$5 je izomorfizam $G$6, možemo pokazati da je $G$7 također isomorfizam, $G$8. Sada pretpostavimo da je $G$9, onda želim pokazati da je $ S $0 abelian i da ima neki element ili 1 ismorfizam s $ S $1.	group-theory,elementary-number-theory,group-isomorphism,automorphism-group
A.380	Ako $\int_0^\pi f(t) \sin(t)dt =\int_0^\pi f(t) \cos(t)dt = 0$, onda $f(x)=0$ priznaje dva rješenja	Ako $\int^{\pi}_{0}f (t) \sin(t)dt =\int^{\pi}_{0} f (t) \cos(t)dt = 0$ priznaje dva rješenja u $[0,\pi]$ pokušavam pokazati ako je $f(x)>0$ i onda dobiti kontradikciju, ali nisam uspjela dokazati to, pa mi možda netko može pomoći s tim?	integration,analysis
A.381	Pristup u vezi s ovim uvjetima	Pretpostavimo da su $A_1, ..., A_n$ brojabilni skupovi. Pokažite da je karteski proizvod $A := A_1 \times ... \times A_n$ brojabilan. Moj pokušaj: Skupovi se kažu da su brojabilni ako su krajnji ili ako imaju istu kardinalitet kao neki podskupin $\mathbb{N}$ (tj. možemo pronaći neku bijeciju $f: A \rightarrow S$ ili $f: S \rightarrow A$ gdje je $S \subset \mathbb{N}$). Pretpostavimo da su $A_1, ..., A_n$ brojabilni skupovi. Onda postoje bijecije $fi: \mathbb{N} \rightarrow A_i$ za $i = 1, ..., n$. Definirite $g: \mathbb{N} \rightarrow A$ kako slijedi Moj problem se ovdje pojavljuje u pronalaženju takve bijective funkcije bez toga da je previše komplicirano. Kako bih otišao oko pronalaženja jednog? također sam otvoren za bilo kakve sugestije. Svaka pomoć je dobrodošla.	elementary-set-theory,induction
A.382	Je li skup funkcija od $SS = \{ A_{1}, A_{2}, A_{3},...\}$ do $\{ \mathbf{T}, \mathbf{F} \} $ mogući da se broje?	Neka $SS=\{ A_1,A_2,A_3,\ldots\}$ i $V = \{ v \mid v: SS \to \{ \mathbf{T}, \mathbf{F} \} \}$ .Je li skup V obračunljiv? opravdati svoj odgovor. Moj instinkt je reći da je $V = \{ v \mid v: SS \to \{ \mathbf{T}, \mathbf{F} \} \}$ nepročunljiv, i dokazati to pomoću dijagonalizacijske argumenta, tj. stvoriti tabelu vrijednosti funkcija $v_{1}, v_{2},...$ za prirodne brojeve $n_1, n_2,\ldots$ i definirati funkciju $v_{m} : SS \to \{ \mathbf{T}, \mathbf{F} \}$ gdje uzima sve vrijednosti u dijagonali tabele $T, F$ i preokrenuti ih, a zatim pokazati da $v_{m}$ ne može pojaviti nigdje u popisu.	elementary-set-theory
A.383	Automorfizmi diska bez maksimalnog načela	U pedagogskim svrhe tražim osnovni dokaz (tj. bez upotrebe maksimalnog načela) da $f_a(z):=\frac{z-a}{1-\overline{a}z}$ prikazuje jedinični disk u sebe kad $|a|<1$. Običan argument (najmanje za mene) je pogledati $f_a(e^{it})$ i provjeriti da $|f_a(e^{it})|=1$. Onda smo završili prema maksimalnom načelu i činjenici da $f_a(a)=0$. Međutim, ne mogu pomoći, ali mislim da bi trebao postojati elementarni način za to, koristeći samo osnovne činjenice o složenim brojevima kao što je trokutna nejednakost. Nažalost, trčim u kruhe.	complex-analysis,complex-numbers
A.384	Što znači ova notiranje?	U ovom trenutku uzimam MIT6.006 i našao sam ovaj problem na skup problema. unatoč činjenici da sam naučio diskretnu matematiku prije, nikada prije nisam vidio takvu notiranje, i želio bih znati što to znači i kako to radi, Hvala: $$ f_3(n) = \binom n2$$ (Transcribed from screenshot)	discrete-mathematics,algorithms
A.385	Vlasnosti veličine funkcije u općem euklidskom domenu	U teoriji prstena danog prstena $R$ naziva se euklidski domen ako postoji funkcija $\sigma:R -\{0\}\rightarrow \{0,1,2,3...\}   $ koja zadovoljava algoritam dijele tj. $ $ ako $a,b \in R$ onda postoji $q,r \in R$ tako da $b=aq+r$ i bilo $r=0$ ili $\sigma(r)\lt \sigma(a) $ Sada želim pitati možemo li dokazati, koristeći samo ovu definiciju da element većeg stupnja neće podijeliti element manjeg stupnja.	ring-theory,factoring,euclidean-domain
A.386	Ispostavite da je $\sum _{n=-\infty }^{\infty } e^{-n^2 \pi x}=\frac{1}{\sqrt{x}}\sum _{n=-\infty }^{\infty } e^{-\frac{n^2 \pi }{x}}$	U Wikipedijskom dokazu Riemanskog funkcionalnog jednačnog za zeta funkciju (dodaj i kliknite "Pokaži dokaz"), pronađem tvrdnju da $$\sum _{n=-\infty }^{\infty } e^{-n^2 \pi x} = \frac{1}{\sqrt{x}}\sum _{n=-\infty }^{\infty } e^{-\frac{n^2 \pi }{x}}$$ ne mogu otkriti kako to radi. Ima li to veze s Jacobi theta funkcijama? Matematica (koji izgleda da koristi originalnu Jacobi notiranje) pojednostavljuje izraz na lijevoj strani gore na Jacobi eliptično theta funkciju (dodaj ovdje, plus 'Pomoćne funkcije' odjeljak koji slijedi) $$ \begin{aligned} \sum _{n=-\infty }^{\infty } e^{-n^2 \pi x} &= \vartheta_{3}(0,e^{-\pi  x}) \\&= \vartheta_{00}(0,e^{-\pi  x}) \\&= \vartheta(0,e^{-\pi  x}) \end{aligned} $$ Wikipedia definira $$\vartheta(z;\tau) := \sum _{n=-\infty }^{\infty } e^{\pi i n^2 \tau+2 \pi i n z}$$ Ali postavljanje $z = 0$ i $\tau = e^{-\pi  x}$ onda daje $$\vartheta(0,e^{-\pi  x}) = \sum _{n=-\infty }^{\infty } e^{\pi i n^2 e^{-\pi  x}}$$ koji očito nije ekvivalent izvornom izrazu.	proof-explanation,riemann-zeta,theta-functions
A.387	Svaki pozitivan cijeli broj veći od $11$ je ne-negativna linearna kombinacija $5$ i $4$. Moje rješenje	Sada analizirajući slučajeve imamo: Ako $i=0$, onda $\begin{align*}         n = 5k \Rightarrow n = 5k + 4(0). \end{align*}$ Ako $ i = 1 $, onda $\begin{align*}        n & = 5k + 1 \\          & = 5k-5(3) +5(3) +1 \\          & = 5(k-3) + 15 + 1 \\          & = 5(k-3) +16 \Rightarrow n = 5(k-3) +4(4). \end{align*}$ Ako $ i = 2 $, onda $\begin{align*}    n & = 5k + 2 \\      & = 5k-5(2) +5(2) +2 \\      & = 5(k-2) + 10 + 2 \\      & = 5(k-2) +12 \Rightarrow n = 5(k-2) +4(3). \end{align*}$ Ako $n\in\mathbb{Z}^{+}$0, onda $n\in\mathbb{Z}^{+}$1 Ako $n\in\mathbb{Z}^{+}$2, onda $n\in\mathbb{Z}^{+}$3 Tako, svaki pozitivni broj može biti izražen kao linearna kombinacija $n\in\mathbb{Z}^{+}$4 i $n\in\mathbb{Z}^{+}$5. Sada koristeći taj $n\in\mathbb{Z}^{+}$6, tako da imamo: $n\in\mathbb{Z}^{+}$7 Dakle, povećanjem vrijednosti koje $n\in\mathbb{Z}^{+}$8 uzima, imamo: $n\in\mathbb{Z}^{+}$9 Ali $k\in\mathbb{Z}_0^+$0. Tako imamo da je svaki pozitivan cijeli broj veći ili jednak $k\in\mathbb{Z}_0^+$1 je ne-negativna linearna kombinacija $n\in\mathbb{Z}^{+}$4 i $n\in\mathbb{Z}^{+}$5. Na kraju, pogledajmo slučajeve koji su još uvijek neovjereni, koji su $k\in\mathbb{Z}_0^+$2, $k\in\mathbb{Z}_0^+$3 i Q24.	elementary-number-theory
A.388	Linearna algebra pronalazi $k$	S obzirom na linearni sustav: $$\begin{cases}  x_1 + kx_2 − x_3 = 2\\  2x_1 − x_2 + kx_3 = 5 \\ x_1 +10x_2 −6x_3 =1 \end{cases}$$ za koji vrijednosti $k$ imaju sustav (2): (a) Nema rješenja (b) Jedinstveno rješenje. (c) Bezbrojno rješenja.	linear-algebra
A.389	Konvergencija posebnog serija, s obzirom na to da je N velik	Pokušavam pronaći opću formuli za niz i x je konstanta: $$\sum\limits_{i=1}^N  \frac{i}{(1+r)^i}$$ sam oduzeo opću formuli za suma. $$\frac{(1+r)^{N+1}-(1+r)-rN}{r^2(1+r)^N}$$ će se ova suma približiti nekakvoj vrijednosti kada je N vrlo velika?	summation
A.390	Dokažite da ako se $x_n$ približava $\omega$, $t_n$ također približava $\omega$	Sekuencom $(x_n)_{n\in\Bbb{N}}$, definirajte novi niz $(t_n)_{n\in\Bbb{N}}$ takav da $t_n:=\frac {x_1+x_2+...+x_n}{n}$. Ako $\lim_{n\rightarrow\infty}t_n=\omega$, kako mogu pokazati da $\lim_{t\rightarrow\infty}x_n=\omega$?	sequences-and-series,convergence-divergence
A.391	$C_r $ nejednakost	Pokažite da za svaki $r> 0$ $$\mathbb{E} |X+Y|^r \leq c_r (\mathbb{E} |X|^r + \mathbb{E} |Y|^r),$$ gdje je $c_r$ konstanta koju je dao $\begin{equation}    c_r = \left\{         \begin{array}{ll}    1 & \mathrm{if\ } 0 < r \le 1 \\    2^{r-1}     & \mathrm{if\ } 1 < r         \end{array}       \right. \end{equation}$ pokušao sam koristiti druge nejednakosti za dokaz ovog, ali i dalje se zaglavim za slučaj $2^{r-1}$.	probability-theory,probability-distributions
A.392	Kako izračunati obrnuto polinomje modulo cijeli broj	Radim s polinomima u ringu $\mathbb{Z}[X]/(X^n-1)$, tako da su dopušteni samo polinomima s najviše stupnjevom $n-1$, a množenja moraju biti smanjene modulo $X^n-1$. Stvar je u tome da imam polinom $f(X)$ i želim izračunati njegov obrnuto modulo cijeli broj $p$, $f_p(X)$, tako da $$ f * f_p \equiv 1 \bmod p $$ Kako bih to mogao učiniti?	polynomials,ring-theory,euclidean-algorithm
A.393	Ispostavite da je cijela funkcija konstanta pod nejednakom	F je cjelokupna funkcija, pretpostavimo da je $|f(z^{2})| \leq  2|f(z)|$ za sve C, onda je f konstanta. Pokušavam koristiti Liouvilleovu teoremu, ali čini se da to nije korisno.	complex-analysis
A.394	Pokušavam pronaći $\delta$ u epsilon-delta kontinuitet dokaz.	Pokušavam dokazati da je sljedeća funkcija kontinuirana za sve iracionalne: $f(x) = \begin{cases} 0,  & \text{if $x$ is irrational} \\ 1/n, & \text{if $x = m/n$} \end{cases}$ Pitanje pretpostavlja da je $m/n$ u najnižoj meri. Pokazao sam da je diskontinuirana za sve racionalne, a sada vjerujem da moram ili koristiti $\epsilon-\delta$ definiciju kontinuiteta ili sekvencijalnog kontinuiteta kako bih pokazao da je funkcija kontinuirana za kada je $x$ iracionalna. Podijelio sam svoj pokušaj u dva slučaja: Naša vrijednost $x$ je iracionalna, onda želim: $$\forall \epsilon > 0, \exists \delta > 0, |x-a| $a$ is irrational here. Using that QZ6 is irrational I get that $fx) = 0$ as does $f ($ as does $f) inea) $f(x) = \begin{cases} 0,  & \text{if $0\delta$f(x) = \begin{cases} 0,  & \text{if $10 < \epsilonZ12\delta$f(x) = \begin{cases} 0,  & \text{if $3x = \epsilonQQ1}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{\t}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{\t}{n}{\t:n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{\nu}{n}{n}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{nu}{\nu}{nu}{\nu}{\nu}{nu}{\nu}{t1t1t1t1\nu}{t1\nu}{\nu}{t1\nu}{t1\nu}{t1\nu}{\nu}{\nu}{\nu}{t1\nu}{t1\nu}{\nu}{\nu}{\nu}{t1\nu}{\nu}{\nu}{t1\nu}{t1\nu}{\nu}{\nu}{t}{t}{\nu}{\nu}{\nu}{\nu}{t}{t}{t}{t}}}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{1\nu}{t}}}{1\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu}{\nu	continuity,epsilon-delta
A.395	Zašto moramo provjeriti i aditivnost i homogenost za linearnost?	$f: V \to W $ nad $K$ s $a,b \in V$ i $k \in K$. Aditivnost: $f(a+b) = f(a) + f(b)$ Homogenitet: $k*f(b) =f(k * b)$ Imam vizualno razumijevanje da je funkcija linearna ako se struktura drži dok se projektuje s $f$ ali zašto nije dovoljno provjeriti je li funkcija aditivna?	linear-algebra
A.396	Koja je MLE $\theta^*$ $\theta$?	Imam da su $x_1, x_2,...,x_n$ iz rv $X$ koji ima funkciju gustoće $f_X(x)=\frac{2x}{\theta^2} \quad$ za $0 \le x \le \theta  \quad$ i $f_X(x)=0 \quad$ inače. Moram odrediti MLE od $\theta^*$ od $\theta$ Evo kako sam to učinio: $L(\theta)= \frac{2}{\theta^{2n}}\prod_{i=1}^nx_i$ $\frac{\partial L(\theta)}{\partial \theta} =...=\frac{-4n}{\theta^{2n+1}}\prod_{i=1}^nx_i + \frac{2}{\theta^{2n}}\frac{\partial(\prod_{i=1}^nx_i)}{\partial \theta}$ Je li to ispravno? i kako izračunati CDF $x_1, x_2,...,x_n$0, pdf $x_1, x_2,...,x_n$1 i očekivanje $x_1, x_2,...,x_n$2 od maksimalne vjerovatnoće procjenitelj $\theta^*$?	statistics,statistical-inference,maximum-likelihood,cumulative-distribution-functions,robust-statistics
A.397	Ako granica ne konvergira, može li se suma? Ili kako bi se suma mogla konvergirati?	U redu, mislim da sam sve vidio, ali sinoć sam vidio ovaj identitet (`tto je pripisan Ramanujanu), $$ 1 + 2 + 3 + 4 + \cdots = -\frac{1}{12} $$ Onda sam vidio dokaz koji je izgleda bio ispravan. Dakle, u redu, vjerujem u to, hej, to nije luđi nego imati beskonačnost različitih veličina i konačno imam nešto zaključivanje s tom činjenicom. Ali onda sam se sjetila referentnog indukcijskog dokaza koji svi uče, $$ \sum_{i=1}^{n} i = \frac{n(n+1)}{2} $$ Onda se udari u ostatke svih onih kalkulističkih kurseva koje sam jednom uzeo, čime me čini stvar, hej čekajte! Imamo ovo, $$ \lim_{n\rightarrow\infty} \frac{n(n+1)}{2} = \infty $$ Mislim da u ovom slučaju smo rekli da granica ne postoji ili funkcija diverzije (koristite me ako se pogresim!) Ali... ali... prema gore navedenom identitetu, $$ \sum_{i=1}^{n=\infty} i = -\frac{1}{12} $$ Ali onda ne bi trebao, $$ \lim_{n\rightarrow\infty} \frac{n(n+1)}{2} \stackrel{?}{=} -\frac{1}{12} $$ Dakle, ono što vidim ovdje je da se ne konvergira, granica, pod dva, također, uvijek se sjećam da smo ovdje, kao rezultat, da je negativni dodatak, ali da je uvijek u redu, ako smo uvijek u redu, osim ako je u redu, ako je u redu, da je u redu, i da je u redu, kao i da je u redu, ako smo uvijek, da je u redu, ako je u redu, ako je u redu, da je u redu, da je u redu, ako je da je u redu, ako je da je, ako je u redu, ako je da je, ako je u redu, ako je da je, ako je da je, ako je da je, ako je da je, ako je, ako je da je, ako je, ako je da je, ako je, ako je da je, ako je, ako je, ako je da, ako je, ako je, ako je, ako je da, ako je, ako je, ako je da, ako je, ako je, ako je, ako je da, ako je, ako je, ako je, ako je da, ako je, ako je, ako je, ako je da, ako je, ako je, ako je, ako je, ako je da, ako je, ako je, ako je, ako je, ako je, ako je, ako je, ako je, ako je, ako je, ako je, ako je, ako je, ako je, ako je, ako je, ako je, ako je, ako je, je, ako je, ako je, ako je, je, ako je, ako je, da, je, da, da, je, da, je, da, da, da, ako je, ako je, ako je, ako je, je, ako je, da, da, ako je, da, da, je, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da	limits,summation
A.398	Pitanje o diferencijabilnosti u točki	Je li kontinuirana funkcija diferencijalna u $x=c$ ako granica njezine derivate ima vrijednost u toj točki? To jest, ako $$\lim_{x \rightarrow c} f'(x) = L = \lim_{x \rightarrow c^+} f'(x) =\lim_{x \rightarrow c^-} f'(x)$$ Intuitivno, padovi tangenata približavaju se istoj vrijednosti i budući da je funkcija kontinuirana skok-diskontinuitet nije moguć tako da se čini da pad u točki također treba biti $L$. Međutim, ne mogu pronaći takvu teoremu, pa sumnjam da je moja intuicja pogrešna.	real-analysis,calculus
A.399	U zrakoplovu se nalaze jednokratne, razdvojene osne pravokotone	Neka $A$ bude neki skup osno-uzvišenog pravokrugla u ravnini, svaki par od kojih ima prazan raskrs. Dokažite da je $A$ brojivi skup. (Osno-uzvišen pravokrug je skup oblika $$M = {\{\langle x,y \rangle \in \mathbb{R^2} | a \leq x \leq b , c \leq y \leq d}\}$$ za $a,b,c,d$ kao što su $a < b$ i $ c < d$.) Pokušaj: Pokušao sam koristiti gustoću $\mathbb{Q}$ u $(\mathbb{R},\leq)$, ali bez ikakvog uspjeha.	real-analysis,combinatorics
A.400	Koja je verovatnoća dva pojedinačna igrača u Wimbledonu ako počinje s $16$ igračima?	Šesnaest ljudi igra u četvrtfinali u Wimbledonu. Pobjednik četvrtfinala igra opet u polufinali kako bi odlučio tko ulazi u finale. Koja je vjerojatnost da će se dva pojedinačna osoba igrati jedni s drugima ako se turnir počne s 16 igrača? Dakle, do sada imam ( slučaj 1 + slučaj 2) = pjesnički igrač u četvrtinu OR pjesnički igrač u polufinalu = $\frac{1}{15} + \frac{14}{15}...$ Nisam siguran što još uključiti u drugi slučaj.	probability,combinatorics,algebra-precalculus
